date,open,high,low,close,volume,amount
2022-01-11,36.0,36.0,33.75,34.45,2880679.0,99633985.0
2022-01-12,35.25,36.2,34.5,36.0,4924640.0,174773448.0
2022-01-13,36.0,36.4,33.35,33.45,3104520.0,106826352.0
2022-01-14,33.5,34.4,32.4,34.4,2036040.0,68603940.0
2022-01-17,34.4,34.8,33.05,33.2,1610200.0,53933060.0
2022-01-18,33.9,33.9,32.4,32.45,1840400.0,60761925.0
2022-01-19,32.45,34.95,32.4,32.95,2560400.0,86455307.0
2022-01-20,33.45,37.0,32.95,36.25,4070085.0,143570423.0
2022-01-21,36.2,36.55,35.0,36.35,1484171.0,53295660.0
2022-01-24,35.05,36.3,34.65,35.0,1568600.0,55321539.0
2022-01-25,35.0,35.2,31.95,32.6,2971400.0,98262740.0
2022-01-26,32.6,33.8,32.4,32.9,2663713.0,88396581.0
2022-01-27,32.9,32.9,27.8,28.9,3517846.0,102780730.0
2022-01-28,28.9,29.3,27.5,28.2,1730436.0,48849327.0
2022-01-31,28.5,29.45,28.25,29.2,446400.0,12923149.0
2022-02-04,29.4,30.35,28.55,29.85,870800.0,25758840.0
2022-02-07,30.85,30.85,27.8,28.45,3114200.0,88637871.0
2022-02-08,28.45,28.45,27.0,27.25,2440440.0,66941840.0
2022-02-09,27.65,29.0,27.65,28.0,2354330.0,66427994.0
2022-02-10,29.0,29.7,28.2,29.55,1806800.0,52271225.0
2022-02-11,29.25,30.3,28.15,28.5,1697383.0,49133516.0
2022-02-14,28.5,28.5,27.2,27.5,1109346.0,30627625.0
2022-02-15,27.7,29.0,27.25,27.95,1199667.0,33765826.0
2022-02-16,29.0,30.6,28.5,30.25,2081400.0,61703085.0
2022-02-17,30.75,30.75,28.9,29.85,2268177.0,66685042.0
2022-02-18,29.65,33.4,29.1,31.8,7505939.0,242231910.0
2022-02-21,31.8,31.8,27.9,28.05,6306016.0,184697363.0
2022-02-22,28.15,28.3,25.65,26.6,5234427.0,138065900.0
2022-02-23,27.3,28.65,26.8,28.45,5200400.0,145776861.0
2022-02-24,27.2,27.7,25.25,26.0,4100400.0,107979245.0
2022-02-25,27.0,27.05,25.15,25.2,4236630.0,109361801.0
2022-02-28,25.1,26.0,24.5,25.15,2904800.0,72411574.0
2022-03-01,25.0,26.4,24.7,26.0,3687350.0,93834533.0
2022-03-02,25.6,25.95,23.9,24.05,3956200.0,96752315.0
2022-03-03,24.05,24.4,22.4,23.1,4917100.0,113317060.0
2022-03-04,22.1,22.1,20.6,21.25,7927800.0,167521664.0
2022-03-07,20.2,20.4,18.32,18.42,8788790.0,168070652.0
2022-03-08,18.78,19.1,17.9,18.28,6645200.0,122971647.0
2022-03-09,18.66,19.28,17.44,19.12,8214800.0,151403754.0
2022-03-10,19.88,20.45,19.02,19.36,3619200.0,71072117.0
2022-03-11,18.4,20.6,18.14,19.94,7097032.0,136435874.0
2022-03-14,19.44,19.46,16.54,16.76,5214143.0,93028039.0
2022-03-15,16.2,16.74,14.2,14.34,11389000.0,176895828.0
2022-03-16,15.56,19.58,15.0,19.36,11195200.0,194404997.0
2022-03-17,22.0,25.5,21.5,25.15,15625668.0,365803815.0
2022-03-18,23.4,25.0,21.6,24.05,11361398.0,263446030.0
2022-03-21,26.25,26.35,24.0,24.3,7768600.0,194254070.0
2022-03-22,24.0,27.25,23.2,26.9,7523720.0,192208620.0
2022-03-23,28.3,28.95,26.3,26.7,7900267.0,219419870.0
2022-03-24,26.7,28.35,25.85,26.25,5908800.0,160408005.0
2022-03-25,26.8,27.55,24.15,24.8,5880200.0,150027610.0
2022-03-28,24.8,26.8,24.2,26.05,5182842.0,133017001.0
2022-03-29,26.3,26.5,25.3,26.35,1974969.0,51067095.0
2022-03-30,25.8,27.1,25.05,25.4,3788573.0,97815402.0
2022-03-31,25.5,25.7,23.5,24.3,1944200.0,47202120.0
2022-04-01,23.95,25.8,23.2,25.75,2505800.0,62309055.0
2022-04-04,26.0,27.0,25.75,26.8,1981800.0,52544981.0
2022-04-06,26.4,27.95,24.3,24.8,5977800.0,153060860.0
2022-04-07,24.75,25.9,24.2,24.5,3443633.0,85444722.0
2022-04-08,24.5,24.7,22.3,23.35,4968000.0,114447130.0
2022-04-11,23.3,24.2,21.3,23.7,8129200.0,185478740.0
2022-04-12,27.25,29.4,23.2,23.8,34520800.0,893634643.0
2022-04-13,23.0,24.0,22.35,22.8,9306800.0,215072490.0
2022-04-14,23.3,23.5,22.0,22.1,5831600.0,131699450.0
2022-04-19,21.45,21.75,20.6,21.1,4238000.0,89148342.0
2022-04-20,21.1,21.7,20.2,20.35,2662800.0,55176430.0
2022-04-21,19.5,20.15,18.6,18.94,4242800.0,81462862.0
2022-04-22,18.66,20.3,18.4,19.64,5280200.0,103133626.0
2022-04-25,19.64,20.05,18.2,18.46,3207298.0,60580205.0
2022-04-26,18.7,20.15,18.7,18.98,4488000.0,86725874.0
2022-04-27,18.8,19.52,18.42,18.62,3357500.0,63184862.0
2022-04-28,19.0,19.02,17.66,18.44,1556600.0,28319412.0
2022-04-29,18.54,21.5,18.2,21.1,4248048.0,86573928.0
2022-05-03,21.0,21.85,20.1,21.15,1809200.0,38428552.0
2022-05-04,21.5,21.5,20.5,20.75,1168000.0,24262665.0
2022-05-05,21.15,21.55,20.3,20.4,1808800.0,37572020.0
2022-05-06,19.68,19.7,18.96,19.2,2301400.0,44300936.0
